artificial_physical_objectLabel,material_usedLabel,subclass_ofLabel,useLabel,has_partLabel
Embraer ERJ 140,,Embraer Regional Jet,commercial aviation,
ERJ 145STD,,Embraer Regional Jet,commercial aviation,
ERJ 145EU,,Embraer Regional Jet,commercial aviation,
ERJ 145LR,,Embraer Regional Jet,commercial aviation,
ERJ 145MK,,Embraer Regional Jet,commercial aviation,
ERJ 145XR,,Embraer Regional Jet,commercial aviation,
F-27,,F27 Friendship,commercial aviation,
F27-100 Friendship,,F27 Friendship,commercial aviation,
F27-200 Friendship,,F27 Friendship,commercial aviation,
F27-300 Combiplane,,F27 Friendship,commercial aviation,
F27-400 Friendship,,F27 Friendship,commercial aviation,
F27-500 Friendship,,F27 Friendship,commercial aviation,
F27-700 Friendship,,F27 Friendship,commercial aviation,
FH-227,,F27 Friendship,commercial aviation,
F-27,,F27 Friendship,commercial aviation,
F27-100 Friendship,,F27 Friendship,commercial aviation,
F27-200 Friendship,,F27 Friendship,commercial aviation,
F27-300 Combiplane,,F27 Friendship,commercial aviation,
F27-400 Friendship,,F27 Friendship,commercial aviation,
F27-500 Friendship,,F27 Friendship,commercial aviation,
F27-700 Friendship,,F27 Friendship,commercial aviation,
FH-227,,F27 Friendship,commercial aviation,
L-188 Electra,,four-engine turboprop airliner,commercial aviation,
L-188 Electra,,four-engine turboprop airliner,commercial aviation,
An-12,,four-engine turboprop transport,commercial aviation,
four-engine turboprop airliner,,four-engine turboprop transport,commercial aviation,
An-12,,four-engine turboprop transport,commercial aviation,
four-engine turboprop airliner,,four-engine turboprop transport,commercial aviation,
An-12,,four-engine turboprop transport,commercial aviation,
bush plane,,general aviation aircraft,commercial aviation,
bush plane,,general aviation aircraft,commercial aviation,
F.60 Goliath,,Goliath,commercial aviation,
F.60 Goliath,,Goliath,commercial aviation,
F.60 Goliath,,Goliath,commercial aviation,
HS 748 Series 2A,,HS 748,commercial aviation,
HS 748 Series 2A,,HS 748,commercial aviation,
regional quadjet,,jet airliner,commercial aviation,
Airbus A330,,jet airliner,commercial aviation,
Fokker 100,,jet airliner,commercial aviation,
regional quadjet,,jet airliner,commercial aviation,
Airbus A330,,jet airliner,commercial aviation,
Fokker 100,,jet airliner,commercial aviation,
Jetstream 31,,Jetstream,commercial aviation,
Jetstream 31,,Jetstream,commercial aviation,
Embraer Regional Jet,,land-based aircraft,commercial aviation,
Super Electra,,land-based aircraft,commercial aviation,
Blériot 155,,land-based aircraft,commercial aviation,
Keystone Pathfinder,,land-based aircraft,commercial aviation,
An-24/26,,land-based aircraft,commercial aviation,
Airbus A300,,land-based aircraft,commercial aviation,
de Havilland DH.34,,land-based aircraft,commercial aviation,
de Havilland DH.18,,land-based aircraft,commercial aviation,
F27 Friendship,,land-based aircraft,commercial aviation,
HS 748,,land-based aircraft,commercial aviation,
Dornier 328,,land-based aircraft,commercial aviation,
NAMC YS-11,,land-based aircraft,commercial aviation,
Mitsubishi Regional Jet,,land-based aircraft,commercial aviation,
Boeing 737,,land-based aircraft,commercial aviation,
Boeing 707,,land-based aircraft,commercial aviation,
Boeing 727,,land-based aircraft,commercial aviation,
Boeing 777,,land-based aircraft,commercial aviation,
C-212 Aviocar,,land-based aircraft,commercial aviation,
MD-11,,land-based aircraft,commercial aviation,
DC-10,,land-based aircraft,commercial aviation,
Boeing 737,,land-based aircraft,commercial aviation,
Boeing 707,,land-based aircraft,commercial aviation,
Boeing 727,,land-based aircraft,commercial aviation,
Boeing 777,,land-based aircraft,commercial aviation,
C-212 Aviocar,,land-based aircraft,commercial aviation,
MD-11,,land-based aircraft,commercial aviation,
DC-10,,land-based aircraft,commercial aviation,
Goliath,,land-based aircraft,commercial aviation,
Handley Page Type W,,land-based aircraft,commercial aviation,
Goliath,,land-based aircraft,commercial aviation,
Handley Page Type W,,land-based aircraft,commercial aviation,
Embraer Regional Jet,,land-based aircraft,commercial aviation,
Super Electra,,land-based aircraft,commercial aviation,
Blériot 155,,land-based aircraft,commercial aviation,
Keystone Pathfinder,,land-based aircraft,commercial aviation,
An-24/26,,land-based aircraft,commercial aviation,
Airbus A300,,land-based aircraft,commercial aviation,
de Havilland DH.34,,land-based aircraft,commercial aviation,
de Havilland DH.18,,land-based aircraft,commercial aviation,
F27 Friendship,,land-based aircraft,commercial aviation,
HS 748,,land-based aircraft,commercial aviation,
Dornier 328,,land-based aircraft,commercial aviation,
NAMC YS-11,,land-based aircraft,commercial aviation,
Mitsubishi Regional Jet,,land-based aircraft,commercial aviation,
An-24/26,,land-based aircraft,commercial aviation,
Goliath,,land-based aircraft,commercial aviation,
CANT Z.506 Airone,,maritime patrol aircraft,commercial aviation,
CANT Z.506 Airone,,maritime patrol aircraft,commercial aviation,
CANT Z.506 Airone,,maritime patrol aircraft,commercial aviation,
McDonnell Douglas DC-9-41,,McDonnell Douglas DC-9 Series 40,commercial aviation,
McDonnell Douglas DC-9-41,,McDonnell Douglas DC-9 Series 40,commercial aviation,
McDonnell Douglas DC-9-33F,,McDonnell Douglas DC-9-33,commercial aviation,
McDonnell Douglas DC-9-33F,,McDonnell Douglas DC-9-33,commercial aviation,
SA226-TC Metro,,Metroliner,commercial aviation,
SA226-TC Metro II,,Metroliner,commercial aviation,
SA227-AC Metro III,,Metroliner,commercial aviation,
SA226-TC Metro,,Metroliner,commercial aviation,
SA226-TC Metro II,,Metroliner,commercial aviation,
SA227-AC Metro III,,Metroliner,commercial aviation,
Airbus A320,,narrow-body airliner,commercial aviation,
Boeing 720,,narrow-body airliner,commercial aviation,
Boeing 757,,narrow-body airliner,commercial aviation,
Fokker 100,,narrow-body airliner,commercial aviation,
F28 Fellowship,,narrow-body airliner,commercial aviation,
narrow-body twinjet airliner,,narrow-body airliner,commercial aviation,
narrow-body twinjet airliner,,narrow-body airliner,commercial aviation,
Boeing 757,,narrow-body airliner,commercial aviation,
Fokker 100,,narrow-body airliner,commercial aviation,
F28 Fellowship,,narrow-body airliner,commercial aviation,
Airbus A320,,narrow-body airliner,commercial aviation,
Boeing 720,,narrow-body airliner,commercial aviation,
DC-8,,narrow-body quadjet airliner,commercial aviation,
Boeing 707,,narrow-body quadjet airliner,commercial aviation,
Boeing 707,,narrow-body quadjet airliner,commercial aviation,
DC-8,,narrow-body quadjet airliner,commercial aviation,
Boeing 727,,narrow-body trijet airliner,commercial aviation,
Boeing 727,,narrow-body trijet airliner,commercial aviation,
Boeing 737,,narrow-body twinjet airliner,commercial aviation,
Boeing 737,,narrow-body twinjet airliner,commercial aviation,
DC-9,,narrow-body twinjet airliner,commercial aviation,
DC-9,,narrow-body twinjet airliner,commercial aviation,
O/10,,O/400,commercial aviation,
O/10,,O/400,commercial aviation,
O/10,,O/400,commercial aviation,
One-Eleven 200,,One-Eleven,commercial aviation,
One-Eleven 200,,One-Eleven,commercial aviation,
Orion 9B,,Orion,commercial aviation,
Orion 9C,,Orion,commercial aviation,
Orion 9B,,Orion,commercial aviation,
Orion 9C,,Orion,commercial aviation,
Piper T1000,,PA-31 Navajo,commercial aviation,
Piper T1000,,PA-31 Navajo,commercial aviation,
Piper T1020,,PA-31-350 Navajo Chieftain,commercial aviation,
Piper T1020,,PA-31-350 Navajo Chieftain,commercial aviation,
Piper T1020,,Piper T1000,commercial aviation,
Piper T1020,,Piper T1000,commercial aviation,
regional quadjet,,quadjet,commercial aviation,
regional quadjet,,quadjet,commercial aviation,
four-engine piston airliner,,quadmotor,commercial aviation,
four-engine piston airliner,,quadmotor,commercial aviation,
EMB 110 Bandeirante,,regional airliner,commercial aviation,
regional quadjet,,regional airliner,commercial aviation,
regional quadjet,,regional airliner,commercial aviation,
EMB 110 Bandeirante,,regional airliner,commercial aviation,
EMB 110 Bandeirante,,regional airliner,commercial aviation,
Dash 8,,regional turboprop,commercial aviation,
Dash 8,,regional turboprop,commercial aviation,
Sandringham 2,,S.25 Sandringham,commercial aviation,
Sandringham 2,,S.25 Sandringham,commercial aviation,
Hythe,,S.25 Sunderland,commercial aviation,
Hythe,,S.25 Sunderland,commercial aviation,
Br.530 Saigon,,S.8,commercial aviation,
Br.530 Saigon,,S.8,commercial aviation,
S-92A,,S-92,commercial aviation,
S-92A,,S-92,commercial aviation,
SA 330F Puma,,SA 330 Puma,commercial aviation,
SA 330F Puma,,SA 330 Puma,commercial aviation,
Saab 340A,,Saab 340,commercial aviation,
Saab 340B,,Saab 340,commercial aviation,
Saab 340A,,Saab 340,commercial aviation,
Saab 340B,,Saab 340,commercial aviation,
Saab 340AF,,Saab 340A,commercial aviation,
Saab 340AF,,Saab 340A,commercial aviation,
Saab 340B Plus,,Saab 340B,commercial aviation,
Saab 340B Plus,,Saab 340B,commercial aviation,
single-engine airliner,,single-engine aircraft,commercial aviation,
single-engine airliner,,single-engine aircraft,commercial aviation,
airliner,,transport aircraft,commercial aviation,
CANT Z.506 Airone,,transport aircraft,commercial aviation,
bush plane,,transport aircraft,commercial aviation,
airliner,,transport aircraft,commercial aviation,
CANT Z.506 Airone,,transport aircraft,commercial aviation,
bush plane,,transport aircraft,commercial aviation,
CANT Z.506 Airone,,transport aircraft,commercial aviation,
AS332 Super Puma,,transport helicopter,commercial aviation,
AS332 Super Puma,,transport helicopter,commercial aviation,
G.2,,trimotor airliner,commercial aviation,
Ju 52/3m,,trimotor airliner,commercial aviation,
G.2,,trimotor airliner,commercial aviation,
Ju 52/3m,,trimotor airliner,commercial aviation,
Tu-70,,Tupolev Tu-4,commercial aviation,
Tu-70,,Tupolev Tu-4,commercial aviation,
Tu-70,,Tupolev Tu-4,commercial aviation,
turboprop airliner,,turboplane,commercial aviation,
turboprop airliner,,turboplane,commercial aviation,
Il-14P,,twin-engine airliner,commercial aviation,
Il-14P,,twin-engine airliner,commercial aviation,
Il-14,,twin-engine piston airliner,commercial aviation,
DC-2,,twin-engine piston airliner,commercial aviation,
T-32 Condor II,,twin-engine piston airliner,commercial aviation,
Goliath,,twin-engine piston airliner,commercial aviation,
Goliath,,twin-engine piston airliner,commercial aviation,
DC-2,,twin-engine piston airliner,commercial aviation,
T-32 Condor II,,twin-engine piston airliner,commercial aviation,
Il-14,,twin-engine piston airliner,commercial aviation,
Goliath,,twin-engine piston airliner,commercial aviation,
twin-engine airliner,,twin-engine plane,commercial aviation,
twin-engine airliner,,twin-engine plane,commercial aviation,
narrow-body twinjet airliner,,twinjet,commercial aviation,
narrow-body twinjet airliner,,twinjet,commercial aviation,
C-212 Aviocar,,twinprop light transport,commercial aviation,
C-212 Aviocar,,twinprop light transport,commercial aviation,
Piper T1000,,twin-turboprop airliner,commercial aviation,
L-410 Turbolet,,twin-turboprop airliner,commercial aviation,
ATR 42,,twin-turboprop airliner,commercial aviation,
EMB 120 Brasilia,,twin-turboprop airliner,commercial aviation,
Handley Page Jetstream,,twin-turboprop airliner,commercial aviation,
Metroliner,,twin-turboprop airliner,commercial aviation,
Beechcraft 1300 Commuter,,twin-turboprop airliner,commercial aviation,
Jetstream 31,,twin-turboprop airliner,commercial aviation,
Piper T1000,,twin-turboprop airliner,commercial aviation,
L-410 Turbolet,,twin-turboprop airliner,commercial aviation,
ATR 42,,twin-turboprop airliner,commercial aviation,
EMB 120 Brasilia,,twin-turboprop airliner,commercial aviation,
Handley Page Jetstream,,twin-turboprop airliner,commercial aviation,
Metroliner,,twin-turboprop airliner,commercial aviation,
Beechcraft 1300 Commuter,,twin-turboprop airliner,commercial aviation,
Jetstream 31,,twin-turboprop airliner,commercial aviation,
Air Express,,Vega,commercial aviation,
Air Express,,Vega,commercial aviation,
Vickers Vimy Commercial,,Vickers Vimy,commercial aviation,
Vickers Vimy Commercial,,Vickers Vimy,commercial aviation,
Vickers Vimy Commercial,,Vickers Vimy,commercial aviation,
Viscount 700,,Viscount,commercial aviation,
Viscount 700,,Viscount,commercial aviation,
Viscount 745D,,Viscount 700D,commercial aviation,
Viscount 745D,,Viscount 700D,commercial aviation,
Airbus A330,,wide-body aircraft,commercial aviation,
Airbus A340,,wide-body aircraft,commercial aviation,
Airbus A330,,wide-body aircraft,commercial aviation,
Airbus A340,,wide-body aircraft,commercial aviation,
Airbus A380,,wide-body quadjet,commercial aviation,
Airbus A380,,wide-body quadjet,commercial aviation,
MD-11,,wide-body trijet,commercial aviation,
DC-10,,wide-body trijet,commercial aviation,
MD-11,,wide-body trijet,commercial aviation,
DC-10,,wide-body trijet,commercial aviation,
Boeing 777,,wide-body twinjet,commercial aviation,
Boeing 777,,wide-body twinjet,commercial aviation,
787 Dreamliner,,wide-body twinjet,commercial aviation,
787 Dreamliner,,wide-body twinjet,commercial aviation,
mortar and pestle,,dyad,comminution,
mortar and pestle,,dyad,comminution,
mortar and pestle,,kitchenware,comminution,
coffee grinder,,kitchenware,comminution,
mortar and pestle,,kitchenware,comminution,
coffee grinder,,kitchenware,comminution,
mortar and pestle,,laboratory equipment,comminution,
mortar and pestle,,laboratory equipment,comminution,
Communications server,,computer,communication,
Communications server,,server,communication,
kneeler,,liturgical furniture,communion,
diesel multiple unit,,multiple unit,commuter rail,
diesel multiple unit,,multiple unit,commuter rail,
calculator,,electronic device,computation,
calculator,,,computation,
calculator,,tool,computation,
mechanical fan,,home appliance,computer,
mechanical fan,,machine,computer,
FastCAD,,computer,computer-aided design,
confessional,,liturgical furniture,confession,
diesel pile hammer,,attachment,construction,
hammer,,blunt instrument,construction,
Chainsaw,,chainsaw,construction,
hammer,,hand tool,construction,
shovel,,hand tool,construction,
Vibratory pile driver,,heavy equipment,construction,
hammer,,impact tool,construction,
Chainsaw,,machine,construction,
hammer,,,construction,
hammer,,tool,construction,
Chainsaw,,tool,construction,
ramp,,device,construction industry,
ramp,,tool,construction industry,
waterskin,,bag,container,
organic drinking vessels,,drinking vessel,container,
organic drinking vessels,,drinking vessel,container,
organic drinking vessels,,drinking vessel,container,
Well car,,freight car,Containerization,
Well car,,freight car,Containerization,
slider,,machine element,control,
slider,,user interface,control,
pan,,cookware and bakeware,cooking,
pan,,cookware and bakeware,cooking,
pan,,cookware and bakeware,cooking,
A-37A Dragonfly,,A-37 Dragonfly,counter-insurgency,
A-37A Dragonfly,,A-37 Dragonfly,counter-insurgency,
EMB 314 Super Tucano,,attack aircraft,counter-insurgency,
counter-insurgency aircraft,,attack aircraft,counter-insurgency,
EMB 314 Super Tucano,,attack aircraft,counter-insurgency,
counter-insurgency aircraft,,attack aircraft,counter-insurgency,
EMB 314 Super Tucano,,attack aircraft,counter-insurgency,
counter-insurgency aircraft,,attack aircraft,counter-insurgency,
T-28D Nomad,,T-28 Trojan,counter-insurgency,
T-28D Nomad,,T-28 Trojan,counter-insurgency,
AT-33A Shooting Star,,T-33 Shooting Star,counter-insurgency,
AT-33A Shooting Star,,T-33 Shooting Star,counter-insurgency,
AT-33A Shooting Star,,T-33 Shooting Star,counter-insurgency,
EMB 314 Super Tucano,,Tucano,counter-insurgency,
EMB 314 Super Tucano,,Tucano,counter-insurgency,
EMB 314 Super Tucano,,Tucano,counter-insurgency,
FTB337G Milirole,,F337 Super Skymaster,counter-insurgency aircraft,
FTB337G Milirole,,F337 Super Skymaster,counter-insurgency aircraft,
T-28 Trojan,,tandem piston trainer,counter-insurgency aircraft,
T-28 Trojan,,tandem piston trainer,counter-insurgency aircraft,
calculator,,electronic device,counting,
calculator,,,counting,
calculator,,tool,counting,
Schempp-Hirth Arcus,,aircraft,Cross-country flying,
Schempp-Hirth Discus-2,,aircraft,Cross-country flying,
Schempp-Hirth Arcus,,aircraft,Cross-country flying,
Schempp-Hirth Discus-2,,aircraft,Cross-country flying,
Rolladen-Schneider LS4,,Club Class,Cross-country flying,
Rolladen-Schneider LS4,,Club Class,Cross-country flying,
Nimbus-4,,Nimbus,Cross-country flying,
Nimbus-4,,Nimbus,Cross-country flying,
Grob G102 Astir,,sailplane,Cross-country flying,
SZD-59 Acro,,sailplane,Cross-country flying,
Schempp-Hirth Duo Discus,,sailplane,Cross-country flying,
DG Flugzeugbau LS10,,sailplane,Cross-country flying,
Rolladen-Schneider LS6,,sailplane,Cross-country flying,
Rolladen-Schneider LS8,,sailplane,Cross-country flying,
Ventus-2,,sailplane,Cross-country flying,
DG Flugzeugbau LS10,,sailplane,Cross-country flying,
Rolladen-Schneider LS6,,sailplane,Cross-country flying,
Rolladen-Schneider LS8,,sailplane,Cross-country flying,
Ventus-2,,sailplane,Cross-country flying,
Grob G102 Astir,,sailplane,Cross-country flying,
SZD-59 Acro,,sailplane,Cross-country flying,
Schempp-Hirth Duo Discus,,sailplane,Cross-country flying,
coffee grinder,,kitchenware,crushing,
coffee grinder,,kitchenware,crushing,
cult image,,religious art,cult,
cult image,,religious object,cult,
lobster pick,,kitchenware,cut of meat,
crab cracker,,kitchenware,cut of meat,
crab cracker,,kitchenware,cut of meat,
lobster pick,,kitchenware,cut of meat,
knife,,edged and bladed weapon,cutting,
tomato slicer,,kitchenware,cutting,
tomato slicer,,kitchenware,cutting,
ceramic knife,,knife,cutting,
diagonal pliers,,pliers,cutting,
dive computer,,computer,decompression,
dive computer,,computer,decompression,
dive computer,,diving equipment,decompression,
dive computer,,diving equipment,decompression,
decorative knot,,knot,decoration,
chain,,machine element,decoration,
chain,,mechanism,decoration,
charger,,plate,decoration,
charger,,plate,decoration,
acanthus,,architectural element,decorative arts,
acanthus,,plant-derived motif,decorative arts,
deep fryer,,cookware and bakeware,deep frying,
deep fryer,,cookware and bakeware,deep frying,
deep fryer,,cookware and bakeware,deep frying,
deep fryer,,home appliance,deep frying,
deep fryer,,home appliance,deep frying,
deep fryer,,home appliance,deep frying,
blockhouse,,fort,defence,
blockhouse,,fort,defence,
defensive weapon,,weapon,defence,
defibrillator,,biomedical engineering,defibrillation,
defibrillator,,biomedical engineering,defibrillation,
defibrillator,,medical device,defibrillation,
defibrillator,,medical device,defibrillation,
delivery drone,,unmanned aerial vehicle,delivery,
delivery drone,,unmanned aerial vehicle,delivery,
Wrecking ball,,impact tool,demolition,
Wrecking ball,,tool,demolition,
Breaker,,tool,demolition,
dental drill,,dental instrument,dentistry,
dental drill,,dental instrument,dentistry,
dental drill,,drill,dentistry,
dental drill,,drill,dentistry,
dental drill,,pneumatic system,dentistry,
dental drill,,pneumatic system,dentistry,
dental braces,,tool,dentistry,
desiccator,,chemical equipment,desiccation,
desiccator,,container,desiccation,
dessert spoon,,spoon,dessert,
dessert spoon,,spoon,dessert,
Sledgehammer,,tool,destruction,
Detector,,device,detection,
Detector,,measuring instrument,detection,
weapon,,product,deterrence,
weapon,,tool,deterrence,
Baldwin 608A,,diesel engine,diesel locomotive,
Sulzer 12LVA24,,diesel engine,diesel locomotive,
Sulzer 8LVA24,,diesel engine,diesel locomotive,
Baldwin 606A,,diesel engine,diesel locomotive,
Baldwin 608A,,four-stroke engine,diesel locomotive,
Sulzer 12LVA24,,four-stroke engine,diesel locomotive,
Sulzer 8LVA24,,four-stroke engine,diesel locomotive,
Baldwin 606A,,four-stroke engine,diesel locomotive,
post hole digger,,garden tool,Digging,
shovel,,hand tool,Digging,
post hole digger,,hand tool,Digging,
land vehicle,,vehicle,displacement,
land vehicle,,vehicle,displacement,
oscilloscope,,electrical apparatus,Display device,
clock,,machine,Display device,
oscilloscope,,measuring instrument,Display device,
clock,,metrological mechanism,Display device,
clock,,timepiece,Display device,
BF2C Goshawk,,Goshawk,dive bomber,
BF2C Goshawk,,Goshawk,dive bomber,
BF2C Goshawk,,Goshawk,dive bomber,
He 51A,,He 51,dive bomber,
He 51A,,He 51,dive bomber,
He 51A,,He 51,dive bomber,
Skua,,single-engine monoplane fighter,dive bomber,
Skua,,single-engine monoplane fighter,dive bomber,
Skua,,single-engine monoplane fighter,dive bomber,
dive bomber,,attack aircraft,dive bombing,
dive bomber,,attack aircraft,dive bombing,
dive bomber,,attack aircraft,dive bombing,
dive bomber,,bomber,dive bombing,
dive bomber,,bomber,dive bombing,
dive bomber,,bomber,dive bombing,
BFAST,,tool,DNA sequencing,
Devonport 19,,tank locomotive,Dock shunter,
GWR 1366 Class,,tank locomotive,Dock shunter,
GWR No. 1340 “Trojan”,,tank locomotive,Dock shunter,
Devonport 19,,tank locomotive,Dock shunter,
GWR 1366 Class,,tank locomotive,Dock shunter,
GWR No. 1340 “Trojan”,,tank locomotive,Dock shunter,
Panjandrum,,cart,Door breaching,
Panjandrum,,cart,Door breaching,
Panjandrum,,weapon,Door breaching,
Panjandrum,,weapon,Door breaching,
Well car,,freight car,double-stack rail transport,
Well car,,freight car,double-stack rail transport,
quill,,painting material,drawing,
quill,,writing implement,drawing,
bucket chain excavator,,excavator,dredging,
dredger,,support ship,dredging,
dredger,,support ship,dredging,
dredger,,working ship,dredging,
dredger,,working ship,dredging,
drill,,tool,drilling,
beaker,,drinking vessel,drink,
beaker,,drinking vessel,drink,
beaker,,drinking vessel,drink,
drinking vessel,,container,drinking,
drinking vessel,,container,drinking,
drinking vessel,,container,drinking,
drinking vessel,,tableware,drinking,
drinking vessel,,tableware,drinking,
drinking vessel,,tableware,drinking,
dual-mode vehicle,,land vehicle,Dual-mode transit,
dual-mode vehicle,,land vehicle,Dual-mode transit,
IÉ 8200 Class,,electric multiple unit,Dublin Area Rapid Transit,
IÉ 8200 Class,,electric multiple unit,Dublin Area Rapid Transit,
Earth observation satellite,,artificial satellite,Earth observation,
Earth observation satellite,,artificial satellite,Earth observation,
backhoe,,attachment,earthworks,
excavator,,heavy equipment,earthworks,
loader,,heavy equipment,earthworks,
dragline excavator,,heavy equipment,earthworks,
Tracked loader,,machine,earthworks,
Tracked loader,,machine,earthworks,
Tracked loader,,tracked vehicle,earthworks,
Tracked loader,,tracked vehicle,earthworks,
Ziehklingenstahl,,tool,Edge enhancement,
IBM 1500,,computer,education,
Raspberry Pi,,single-board computer,education,
induction motor,,AC motor,electric generator,
induction motor,,brushless electric motor,electric generator,
three-phase synchronous machine,,,electric generator,
three-phase synchronous machine,,synchronous motor,electric generator,
induction motor,,AC motor,electric motor,
synchronous motor,,AC motor,electric motor,
induction motor,,brushless electric motor,electric motor,
three-phase synchronous machine,,,electric motor,
three-phase synchronous machine,,synchronous motor,electric motor,
electric motor,,electric machine,electric vehicle,
DC motor,,electric motor,electric vehicle,
electric motor,,engine,electric vehicle,
Cable tie,,fastener,electrical cable,
Cable tie,,fastener,electrical cable,
oscillator,,measuring instrument,electrical engineering,
electric motor,,electric machine,electrical machine,
electric motor,,engine,electrical machine,
Stripping knife,,knife,electrical wiring,
Stripping knife,,tool,electrical wiring,
Generator car,,caboose,electricity generation,
Generator car,,caboose,electricity generation,
S8G reactor,,nuclear reactor,electricity generation,
generator trailer,,trailer,electricity generation,
generator trailer,,trailer,electricity generation,
TD-1500,,turbine,electricity generation,
A4W reactor,,United States naval reactors,electricity generation,
electrocardiograph machine,,machine,electrocardiography,
EA-3A Skywarrior,,A-3A Skywarrior,electronic countermeasure,
EA-3A Skywarrior,,A-3A Skywarrior,electronic countermeasure,
EA-3A Skywarrior,,A-3A Skywarrior,electronic countermeasure,
EKA-3B Skywarrior,,A-3B Skywarrior,electronic countermeasure,
EKA-3B Skywarrior,,A-3B Skywarrior,electronic countermeasure,
EKA-3B Skywarrior,,A-3B Skywarrior,electronic countermeasure,
AD-1Q Skyraider,,AD-1 Skyraider,electronic countermeasure,
AD-1Q Skyraider,,AD-1 Skyraider,electronic countermeasure,
AD-1Q Skyraider,,AD-1 Skyraider,electronic countermeasure,
AD-2Q Skyraider,,AD-2 Skyraider,electronic countermeasure,
AD-2QU Skyraider,,AD-2 Skyraider,electronic countermeasure,
AD-2Q Skyraider,,AD-2 Skyraider,electronic countermeasure,
AD-2QU Skyraider,,AD-2 Skyraider,electronic countermeasure,
AD-2Q Skyraider,,AD-2 Skyraider,electronic countermeasure,
AD-2QU Skyraider,,AD-2 Skyraider,electronic countermeasure,
AD-3Q Skyraider,,AD-3 Skyraider,electronic countermeasure,
AD-3Q Skyraider,,AD-3 Skyraider,electronic countermeasure,
AD-3Q Skyraider,,AD-3 Skyraider,electronic countermeasure,
AD-4Q Skyraider,,AD-4 Skyraider,electronic countermeasure,
AD-4Q Skyraider,,AD-4 Skyraider,electronic countermeasure,
AD-4Q Skyraider,,AD-4 Skyraider,electronic countermeasure,
XBT2D-1Q,,BT2D Skyraider,electronic countermeasure,
XBT2D-1Q,,BT2D Skyraider,electronic countermeasure,
XBT2D-1Q,,BT2D Skyraider,electronic countermeasure,
EC-1A Trader,,C-1 Trader,electronic countermeasure,
EC-1A Trader,,C-1 Trader,electronic countermeasure,
EC-1A Trader,,C-1 Trader,electronic countermeasure,
G.222VS,,G.222,electronic countermeasure,
G.222VS,,G.222,electronic countermeasure,
G.222VS,,G.222,electronic countermeasure,
MB-326RM,,MB-326,electronic countermeasure,
MB-326RM,,MB-326,electronic countermeasure,
Cyclops,,sports equipment,electronic line judge,
Cyclops,,sports equipment,electronic line judge,
EA-3A Skywarrior,,A-3A Skywarrior,electronic signals intelligence,
EA-3A Skywarrior,,A-3A Skywarrior,electronic signals intelligence,
EA-3A Skywarrior,,A-3A Skywarrior,electronic signals intelligence,
RV-1C Quick Look,,OV-1 Mohawk,electronic signals intelligence,
RV-1C Quick Look,,OV-1 Mohawk,electronic signals intelligence,
RV-1C Quick Look,,OV-1 Mohawk,electronic signals intelligence,
RV-1D Quick Look II,,OV-1D Mohawk,electronic signals intelligence,
RV-1D Quick Look II,,OV-1D Mohawk,electronic signals intelligence,
RV-1D Quick Look II,,OV-1D Mohawk,electronic signals intelligence,
AP-2E Neptune,,P-2 Neptune,electronic signals intelligence,
AP-2E Neptune,,P-2 Neptune,electronic signals intelligence,
AP-2E Neptune,,P-2 Neptune,electronic signals intelligence,
EMB 145MP,,R-99,electronic signals intelligence,
EMB 145MP,,R-99,electronic signals intelligence,
EA-3B Skywarrior,,A-3B Skywarrior,electronic warfare,
ERA-3B Skywarrior,,A-3B Skywarrior,electronic warfare,
EA-3B Skywarrior,,A-3B Skywarrior,electronic warfare,
ERA-3B Skywarrior,,A-3B Skywarrior,electronic warfare,
EA-3B Skywarrior,,A-3B Skywarrior,electronic warfare,
ERA-3B Skywarrior,,A-3B Skywarrior,electronic warfare,
E-8 Joint STARS,,Boeing 707,electronic warfare,
E-8 Joint STARS,,Boeing 707,electronic warfare,
Lockheed EC-130,,C-130 Hercules,electronic warfare,
Lockheed EC-130,,C-130 Hercules,electronic warfare,
Lockheed EC-130,,C-130 Hercules,electronic warfare,
CE-144,,CC-144,electronic warfare,
CE-144,,CC-144,electronic warfare,
Lockheed EC-130,,land-based aircraft,electronic warfare,
Lockheed EC-130,,land-based aircraft,electronic warfare,
Lockheed EC-130,,land-based aircraft,electronic warfare,
AN/SLQ-32 Electronic Warfare Suite,,military equipment,electronic warfare,
AN/SLQ-32 Electronic Warfare Suite,,military equipment,electronic warfare,
EA-18G Growler,,Super Hornet,electronic warfare,
EA-18G Growler,,Super Hornet,electronic warfare,
EA-18G Growler,,Super Hornet,electronic warfare,
J 32 Lansen,,Saab 32 Lansen,Electronic warfare aircraft,
J 32 Lansen,,Saab 32 Lansen,Electronic warfare aircraft,
J 32 Lansen,,Saab 32 Lansen,Electronic warfare aircraft,
Saab Sk 37 Viggen,,Saab 37 Viggen,Electronic warfare aircraft,
Saab Sk 37 Viggen,,Saab 37 Viggen,Electronic warfare aircraft,
Saab Sk 37 Viggen,,Saab 37 Viggen,Electronic warfare aircraft,
N&W LC-1,,electric locomotive,Elkhorn Grade electrification,
N&W LC-2,,electric locomotive,Elkhorn Grade electrification,
N&W LC-1,,electric locomotive,Elkhorn Grade electrification,
N&W LC-2,,electric locomotive,Elkhorn Grade electrification,
BiPu,,tool,emergency management,
Fiberscope,,endoscope,endoscopy,
Fiberscope,,endoscope,endoscopy,
endoscope,,medical device,endoscopy,
endoscope,,medical device,endoscopy,
endoscope,,tool,endoscopy,
